,Country,Happiness Score,GDP per capita,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Year
125,Djibouti,4.369,0.44025,0.36291,0.46074,0.18093,0.28105,2015
126,Armenia,4.35,0.76821,0.7299,0.19847,0.07855,0.039,2015
127,Botswana,4.332,0.99355,0.04776,0.49495,0.10461,0.12474,2015
128,Myanmar,4.307,0.27108,0.48246,0.44017,0.79588,0.19034,2015
129,Georgia,4.297,0.7419,0.72926,0.40577,0.05547,0.38331,2015
130,Malawi,4.292,0.01604,0.22562,0.43054,0.33128,0.06977,2015
131,Sri Lanka,4.271,0.83524,0.70806,0.53726,0.40828,0.09179,2015
132,Cameroon,4.252,0.4225,0.23402,0.49309,0.20618,0.05786,2015
133,Bulgaria,4.218,1.01216,0.76649,0.30587,0.11921,0.00872,2015
134,Egypt,4.194,0.8818,0.61712,0.17288,0.11291,0.06324,2015
135,Yemen,4.077,0.54649,0.40064,0.35571,0.09131,0.07854,2015
136,Angola,4.033,0.75778,0.16683,0.10384,0.12344,0.07122,2015
137,Mali,3.995,0.26074,0.20583,0.38857,0.18798,0.12352,2015
138,Congo (Brazzaville),3.989,0.67866,0.31051,0.41466,0.12388,0.11686,2015
139,Comoros,3.956,0.23906,0.36315,0.22917,0.17441,0.199,2015
140,Uganda,3.931,0.21102,0.33861,0.45727,0.29066,0.07267,2015
141,Senegal,3.904,0.36498,0.4354,0.36772,0.20843,0.10713,2015
142,Gabon,3.896,1.06024,0.43372,0.31914,0.06822,0.11091,2015
143,Niger,3.845,0.0694,0.29707,0.47692,0.19387,0.15639,2015
144,Cambodia,3.819,0.46038,0.61114,0.66246,0.40359,0.07247,2015
145,Tanzania,3.781,0.2852,0.38215,0.32878,0.34377,0.05747,2015
146,Madagascar,3.681,0.20824,0.46721,0.19184,0.21333,0.08124,2015
147,Central African Republic,3.678,0.0785,0.06699,0.48879,0.23835,0.08289,2015
148,Chad,3.667,0.34193,0.1501,0.23501,0.18386,0.05269,2015
149,Guinea,3.656,0.17417,0.24009,0.37725,0.28657,0.12139,2015
150,Ivory Coast,3.655,0.46534,0.15185,0.46866,0.20165,0.17922,2015
151,Burkina Faso,3.587,0.25812,0.27125,0.39493,0.21747,0.12832,2015
152,Afghanistan,3.575,0.31982,0.30335,0.23414,0.3651,0.09719,2015
153,Rwanda,3.465,0.22208,0.42864,0.59201,0.22628,0.55191,2015
154,Benin,3.34,0.28665,0.3191,0.4845,0.1826,0.0801,2015
155,Syria,3.006,0.6632,0.72193,0.15684,0.47179,0.18906,2015
156,Burundi,2.905,0.0153,0.22396,0.1185,0.19727,0.10062,2015
157,Togo,2.839,0.20868,0.28443,0.36453,0.16681,0.10731,2015
